OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
980651169;ROYAL OPTIKK AS;Aktiv;5;AS;47.782
994298275;ASKELADDEN BARNEHAGE SA;Aktiv;16;SA;88.911
915289452;PUMPA AS;Aktiv;;AS;47.300
916122160;ÅFJORDSKROA DIJAM AS;Aktiv;8;AS;56.101
995221608;ADATO AS;Aktiv;7;AS;62.010
926067303;VIKEN ØKONOMI AS;Aktiv;9;AS;69.201
916056281;DINORD EIENDOM AS;Slettet;;AS;
995377969;ALVEN DAME OG HERREFRISØR AS;Aktiv;5;AS;96.020
912428532;ASTAFJORD INDUSTRIER AS;Aktiv;;AS;68.209
974645130;FUTURUM AS;Aktiv;5;AS;82.990
999057888;HÅLOGALAND BRØNN- OG ENERGIBORING AS;Konkurs;;AS;42.210
990040907;MERK-KJEDEN AS;Aktiv;;AS;73.110
912403602;MØRE RØR AS;Aktiv;6;AS;43.221
971482435;MALMKLUMPEN BARNEHAGE SA;Aktiv;15;SA;88.911
916027699;KP SERVICE NORD AS;Aktiv;;AS;81.101
912548686;MALERMESTER VINTERSTAD AS;Aktiv;;AS;43.341
987416874;NARVIK KAPITAL AS;Aktiv;;AS;64.306
997869273;SOLBES AS;Aktiv;;AS;71.200
977097347;NORDSALTEN AVIS AS;Aktiv;14;AS;58.130
912185613;SIVERTSEN TREBYGG AS;Aktiv;;AS;41.200
916158432;N BYGG AS;Aktiv;;AS;43.320
990310513;ARCTIC SPILL CONTROL AS;Aktiv;;AS;39.000
966376724;ASCAS MILJØ AS;Aktiv;5;AS;39.000
916047622;JAA EIENDOM AS;Aktiv;;AS;68.209
945988924;ITIDE ØKONOMI AS;Slettet;;AS;
971048891;STRANDGATA EIENDOM AS;Aktiv;;AS;68.209
915107656;ASKVIK AQUA AS;Aktiv;;AS;03.213
914397111;VERIFIED AS;Aktiv;13;AS;62.010
916185405;SIGNE GREIVSTAD AS;Aktiv;;AS;86.904
961517575;NIVO AS;Aktiv;;AS;69.201
914856051;BERGSPRENGEREN AS;Aktiv;;AS;43.120
984404662;OSLO POLITIETS PENSJONISTFORENING (OPP);Aktiv;;FLI;94.991
988561835;ALTIEIK AS;Aktiv;;AS;31.090
912797589;DIN BYGGPARTNER AS;Aktiv;;AS;41.200
811903922;ECONOMICA AS;Aktiv;;AS;70.220
816235502;INDUSTRISTÅL AS;Aktiv;;AS;46.720
916215215;SMÅLOPPENE AS;Aktiv;10;AS;47.792
929408039;CATWALK AS;Aktiv;12;AS;47.710
929794729;FOLKI AS;Aktiv;;AS;88.994
932925982;UDELT AS;Aktiv;7;AS;62.020
979775571;RAMBERG BYGGEVARER AS;Aktiv;9;AS;47.522
912872122;FYRESDAL NÆRINGSHAGE AS;Aktiv;;AS;70.220
917855056;SIGVART ASLE LIE;Aktiv;;ENK;68.209
976861213;HURD ØKONOMI & REGNSKAP AS;Aktiv;10;AS;69.201
971155450;PROBUS AS;Aktiv;6;AS;69.201
916094051;BJØRNS BIL AS;Aktiv;;AS;45.112
951869880;FRAM KINO AS;Aktiv;18;AS;59.140
990078424;ARENA DRIFT AS;Aktiv;;AS;93.110
981470850;NARVIK RIDESKOLE SKJOMEN AS;Aktiv;5;AS;93.190
915991262;VESTFOLD TRUCKSERVICE AS;Aktiv;12;AS;33.120
979924720;NETWORK BROKING AS;Aktiv;;AS;46.180
